"word","freq"
"desperdicio",2
"gana",2
"gutiérrez",2
"tercera",2
"sucede",2
"grande",2
"equidad",2
"específicamente",2
"pesos",2
"versión",2
"prevenir",2
"vulneración",2
"cuarta",2
"revolución",2
"funcionan",2
"asesoría",2
"dichos",2
"encargado",2
"solicitud",2
"inmensa",2
"administrativa",2
"orden",2
"organizar",2
"transparente",2
"peticiones",2
"cierre",2
"inmenso",2
"rectoría",2
"tres",2
"adicional",2
"perjudica",2
"tomaron",2
"univesidad",2
"aporte",2
"director",2
"ocupación",2
"sabe",2
"semana",2
"lea",2
"motivo",2
"queda",2
"cobertura",2
"cumplimiento",2
"disminución",2
"ello",2
"incidencia",2
"obtienen",2
"apoyar",2
"grave",2
"pierdo",2
"generacional",2
"relevo",2
"esfera",2
"plazoleta",2
"ahorrado",2
"confinamiento",2
"ingresos",2
"internacional",2
"pague",2
"perdieron",2
"similar",2
"soluciones",2
"vea",2
"virtualización",2
"único",2
"hacerlo",2
"inscribir",2
"inscribirme",2
"noches",2
"buscar",2
"entregado",2
"nueva",2
"pacífico",2
"supervisión",2
"dicen",2
"interes",2
"maestria",2
"mensual",2
"pagan",2
"resto",2
"sueños",2
"elementos",2
"pasamos",2
"personalmente",2
"potable",2
"recomendación",2
"solamente",2
"toma",2
"anterior",2
"colocar",2
"proponer",2
"academia",2
"contaminación",2
"dependencias",2
"desarrolla",2
"interés",2
"divulgar",2
"enseña",2
"sabemos",2
"carné",2
"registro",2
"bibliotecas",2
"división",2
"invierte",2
"aportando",2
"cultural",2
"misionales",2
"misión",2
"nación",2
"patrimonio",2
"ahorrar",2
"apelando",2
"cancelado",2
"despidos",2
"entrante",2
"evitando",2
"recibos",2
"redireccionado",2
"ésto",2
"clave",2
"identificación",2
"intento",2
"numero",2
"registrados",2
"registrarme",2
"usuarios",2
"voy",2
"andes",2
"autocrítica",2
"automáticamente",2
"cursando",2
"derivada",2
"excluyendo",2
"justificación",2
"lineamientos",2
"media",2
"modificar",2
"postulado",2
"privadas",2
"sugerencia",2
"uni",2
"valores",2
"propuesto",2
"aunque",2
"maestrías",2
"decano",2
"recurso",2
"efectivamente",2
"entregarán",2
"físico",2
"normalmente",2
"obsequios",2
"siquiera",2
"tramitar",2
"afectado",2
