Medio	Pregunta
Página	Teniendo en cuenta el nuevo modelo de admisiones que se realizará para el segundo semestre del 2020, ¿Cómo se realizarán las equivalencias entre los resultados antiguos de la prueba de ingreso a la Universidad Nacional y las pruebas ICFES? Teniendo en cuenta que se califican en rangos numéricos distintos.
Página	Teniendo en cuenta el nuevo modelo de admisiones que se realizará para el segundo semestre del 2020, ¿Cómo se realizarán las equivalencias entre los resultados antiguos de la prueba de ingreso a la Universidad Nacional y las pruebas ICFES? Teniendo en cuenta que se califican en rangos numéricos distintos.
Página	¿Los recursos de inversión y funcionamiento han cambiado con respecto a los anteriores años?
Página	Me interesa participar del grupo de estudio unal, cuando voy a ingresar me dice que no hay usuarios registrados con mi correo, igual pasa cuando intento recuperar a clave y al momento de registrarme dice que mi correo y numero de identificación ya estan en uso
Página	"Si, como profesional que está cursando un segundo pregrado en esta uni, pregunto: ¿Cuándo van a realizar el proceso de autocrítica y modificar el Acuerdo 006 de 1999? Sugerencia: cobrar a los profesionales en su segundo pregrado a partir de la línea base de posgrado o con base en una media derivada de los valores de universidades privadas (excluyendo los Andes) y a partir de esa línea base aplicar lineamientos de cobro según situación socioeconómica del postulado o estudiante; así se evita caer en la situación de aplicar automáticamente, sin justificación real, el PBM máximo a estos casos. Gracias."
Página	¿Cuándo se podrá utilizar de nuevo el Auditorio León de Greiff, teniendo en cuenta las adecuaciones previstas y el cronograma propuesto? Gracias
Página	En las pruebas Saber-Pro, el puntaje de la prueba en comunicación escrita son muy bajas para el país (143,5), aunque la Universidad supera el promedio del país (154.6). En la admisión cerca del 40% de admitidos a Maestrías fueron estudiantes de Pregrado de la UN. ¿Qué acciones adelanta la Universidad para que sus estudiantes de pregrado mejoren esta habilidad necesaria en los procesos de investigación?
Página	Se observa en el Balance social que se presentaron Transformaciones organizacionales en la parte administrativa, pero: ¿Qué evaluación se está haciendo para optimizar el recurso docente (escaso y con una planta congelado) en acciones como: Unificar Facultades que cuentan todo un esquema administrativo (decano, vicedecanos, directores de programas, etc.) y disminuir el número de docentes que apoyan los posgrados, (donde se presenta un docente con alto nivel de formación en cada programa?
Página	Teniendo en cuenta que los estudiantes que nos graduaremos en la primera ceremonia de grados de este año seguramente no vamos a poder tener la ceremonia habitual en nuestras facultades debido a la contingencia por la pandemia actual, y que no sabemos ni siquiera cómo nos entregarán el diploma físico ni los obsequios que da normalmente cada facultad, ¿por qué tuvimos que pagar el valor pleno de los derechos de grado?, y ¿efectivamente se hará entrega del diploma físico y los demás obsequios a falta de ceremonia?
Página	¿Cómo se va a realizar el fraccionamiento de matrícula para el siguiente semestre, ya que no se pudo tramitar con normalidad?
Página	Después de la coyuntura ¿cual es el futuro de las clases? Qué acciones estamos haciendo para evitar la deserción en la UNAL, pre y posgrado?
Página	¿Cual es la actualidad y futuro de la Editorial UNAL?
Página	Según lo que estaba proyectado en 2019 para este año 2020 en términos administrativos financieros ¿como se ha visto afectado todo a partir de la coyuntura?
Página	Teniendo en cuenta la emergencia sanitaria ¿Cuando se dará la finalización e inaguración del edificio de aulas de ciencias?
